date,interbank_rate
20150630,0.026757
20150331,0.040282
20141231,0.048928
20140930,0.028083
20140630,0.039914001
20140331,0.043012999
20131231,0.053144999
20130930,0.043956
20130630,0.064633
20130331,0.035734
20121231,0.045880999
20120930,0.034588
20120630,0.041553
20120331,0.035287
20111231,0.063588001
20110930,0.051383
20110630,0.066408001
20110331,0.029277001
20101231,0.064992003
20100930,0.031122001
20100630,0.026730999
20100331,0.017066
20091231,0.01864
20090930,0.018247999
20090630,0.012442
20090331,0.010207
20081231,0.011187
20080930,0.03273
20080630,0.032993998
20080331,0.028941
20071231,0.025726
20070930,0.026000001
20070630,0.028236
20070331,0.019979
20061231,0.028767999
20060930,0.025169
20060630,0.020965001
20060331,0.016971
20051231,0.015473
20050930,0.015826
20050630,0.017565001
20050331,0.018869
20041231,0.019936001
20040930,0.024220999
20040630,0.023841999
,
