stockid,stockname,date,BV
600000.SH,浦发银行,20080630,3460707.16
600000.SH,浦发银行,20080331,3141903.67
600000.SH,浦发银行,20071231,2829786.8
600000.SH,浦发银行,20070930,2740815.14
600000.SH,浦发银行,20070630,2611129.79
600000.SH,浦发银行,20070331,2568705.45
600000.SH,浦发银行,20061231,2470612.8
600000.SH,浦发银行,20060930,1789122.73
600000.SH,浦发银行,20060630,1706633.08
600000.SH,浦发银行,20060331,1567963.96
600000.SH,浦发银行,20051231,1596946.29
600000.SH,浦发银行,20050930,1481218.59
600000.SH,浦发银行,20050630,1414336.72
600000.SH,浦发银行,20050331,1402406.28
600000.SH,浦发银行,20041231,1351030.37
600000.SH,浦发银行,20040930,1296390.72
600000.SH,浦发银行,20040630,1245371.86
600000.SH,浦发银行,20040331,1199589.07
600000.SH,浦发银行,20031231,1201092.29
600000.SH,浦发银行,20030930,1152689.6
600000.SH,浦发银行,20030630,1110166.93
600000.SH,浦发银行,20030331,1076046.01
600000.SH,浦发银行,20021231,796047.65
600000.SH,浦发银行,20020930,792135.92
600000.SH,浦发银行,20020630,760810.93
600000.SH,浦发银行,20020331,733241.4
600000.SH,浦发银行,20011231,706666.7
600000.SH,浦发银行,20010930,821857.85
600000.SH,浦发银行,20010630,793143.91
600000.SH,浦发银行,20001231,744476.95
600000.SH,浦发银行,20000630,830631.96
600000.SH,浦发银行,19991231,777605.31
600000.SH,浦发银行,19990630,383947.7
600000.SH,浦发银行,19981231,333350.6
600000.SH,浦发银行,19971231,317171.8
600000.SH,浦发银行,19961231,157990.8
600015.SH,华夏银行,20140930,9690200
600015.SH,华夏银行,20140630,9207800
600015.SH,华夏银行,20140331,9030000
600015.SH,华夏银行,20131231,8601900
600015.SH,华夏银行,20130930,8253200
600015.SH,华夏银行,20130630,8266700
600015.SH,华夏银行,20130331,7790471.51
600015.SH,华夏银行,20121231,7472262.42
600015.SH,华夏银行,20120930,7118952.67
600015.SH,华夏银行,20120630,6861321.51
600015.SH,华夏银行,20120331,6631811.65
600015.SH,华夏银行,20111231,6393012.29
600015.SH,华夏银行,20110930,6094446.27
600015.SH,华夏银行,20110630,5880550.87
600015.SH,华夏银行,20110331,3720276.94
600015.SH,华夏银行,20101231,3549588.02
600015.SH,华夏银行,20100930,3417604.2
600015.SH,华夏银行,20100630,3266287.61
600015.SH,华夏银行,20100331,3158769.4
600015.SH,华夏银行,20091231,3023418.52
600015.SH,华夏银行,20090930,2911923.9
600015.SH,华夏银行,20090630,2815787.73
600015.SH,华夏银行,20090331,2797453.39
600015.SH,华夏银行,20081231,2742135.69
600015.SH,华夏银行,20080930,1575628.73
600015.SH,华夏银行,20080630,1448189.8
600015.SH,华夏银行,20080331,1385104.41
600015.SH,华夏银行,20071231,1305562.75
600015.SH,华夏银行,20070930,1262967.09
600015.SH,华夏银行,20070630,1201485.15
600015.SH,华夏银行,20070331,1196841.03
600015.SH,华夏银行,20061231,1164279.51
600015.SH,华夏银行,20060930,1124708.06
600015.SH,华夏银行,20060630,1074244.08
600015.SH,华夏银行,20060331,1084570.31
600015.SH,华夏银行,20051231,1053082.19
600015.SH,华夏银行,20050930,1027252.36
600015.SH,华夏银行,20050630,982883.91
600015.SH,华夏银行,20050331,992106.83
600015.SH,华夏银行,20041231,960899.5
600015.SH,华夏银行,20040930,938322.68
600015.SH,华夏银行,20040630,908742.71
600015.SH,华夏银行,20040331,889400.21
600015.SH,华夏银行,20031231,862707.74
600015.SH,华夏银行,20030930,972182.73
600015.SH,华夏银行,20030630,399655.92
600015.SH,华夏银行,20021231,360136.93
600015.SH,华夏银行,20011231,209583.56
600015.SH,华夏银行,20001231,145557.67
600016.SH,民生银行,20140930,24080300
600016.SH,民生银行,20140630,22929900
600016.SH,民生银行,20140331,21788100
