stockid,stockname,date,asset,equity
601398.SH,工商银行,20120930,1737115000,107527400
601398.SH,工商银行,20120630,1707305000,101744800
601398.SH,工商银行,20120331,1643119600,102294300
601398.SH,工商银行,20111231,1547686800,95782300
601398.SH,工商银行,20110930,1512700200,90186600
601398.SH,工商银行,20110630,1489604800,85961500
601398.SH,工商银行,20110331,1438999600,87222500
601398.SH,工商银行,20101231,1345862200,82165700
601398.SH,工商银行,20100930,1341788700,75950500
601398.SH,工商银行,20100630,1296038100,70960000
601398.SH,工商银行,20100331,1255338500,72420100
601398.SH,工商银行,20091231,1178505300,67893400
601398.SH,工商银行,20090930,1167013400,65090700
601398.SH,工商银行,20090630,1143508600,62092000
601398.SH,工商银行,20090331,1097896600,64058500
601398.SH,工商银行,20081231,975765400,60713800
601398.SH,工商银行,20080930,938434700,58581900
601398.SH,工商银行,20080630,939996000,55434200
601398.SH,工商银行,20080331,914138700,57093100
601398.SH,工商银行,20071231,868428800,54425200
601398.SH,工商银行,20070930,859775600,52603700
601398.SH,工商银行,20070630,830398800,50331700
601398.SH,工商银行,20070331,788080600,48995300
601398.SH,工商银行,20061231,750911800,47143300
601398.SH,工商银行,20060630,705547700,33031700
601398.SH,工商银行,20051231,645723900,26098400
601398.SH,工商银行,20041231,507287400,-50449500
601398.SH,工商银行,20031231,456017400,-53548400
601818.SH,光大银行,20140930,258141800,17313600
601818.SH,光大银行,20140630,266957800,16523100
601818.SH,光大银行,20140331,257820200,16384600
601818.SH,光大银行,20131231,241508600,15305200
601818.SH,光大银行,20130930,247434400,13234600
601818.SH,光大银行,20130630,247116800,12706600
601818.SH,光大银行,20130331,241449200,12261200
