stockid,stockname,date,revenue,interestincome,interestexpense,noninterestexpense,adminexpense
000001.SZ,平安银行,20030331,"135,252.26 ","133,145.83 ",0.00 ,940.07 ,0.00 
000001.SZ,平安银行,20021231,"376,971.76 ","393,401.09 ","234,609.44 ","2,704.12 ","184,189.91 "
000001.SZ,平安银行,20020930,"394,244.20 ","388,424.52 ",0.00 ,"1,673.61 ",0.00 
000001.SZ,平安银行,20020630,"241,276.49 ","238,127.07 ",0.00 ,943.07 ,0.00 
000001.SZ,平安银行,20020331,"109,547.86 ","108,477.67 ",0.00 ,422.79 ,0.00 
000001.SZ,平安银行,20011231,"259,746.45 ","442,898.48 ","169,919.65 ","1,684.89 ","107,785.36 "
000001.SZ,平安银行,20010930,"258,020.27 ","232,389.24 ",0.00 ,"1,051.01 ",0.00 
000001.SZ,平安银行,20010630,"176,924.43 ","174,920.15 ",0.00 ,633.30 ,0.00 
000001.SZ,平安银行,20010331,"72,500.54 ","69,033.97 ",0.00 ,287.54 ,0.00 
000001.SZ,平安银行,20001231,"181,289.35 ","271,263.83 ","96,377.70 ",969.93 ,"70,450.79 "
000001.SZ,平安银行,20000630,"95,302.63 ","94,434.61 ",0.00 ,368.75 ,"1,029.80 "
000001.SZ,平安银行,19991231,"172,495.54 ","244,432.60 ","84,791.59 ",683.45 ,"58,876.82 "
000001.SZ,平安银行,19990630,"113,469.83 ","113,059.28 ",0.00 ,324.14 ,479.65 
000001.SZ,平安银行,19981231,"196,373.85 ","287,425.24 ","100,158.83 ","1,151.70 ","57,428.12 "
000001.SZ,平安银行,19980630,"129,442.05 ","128,527.97 ",0.00 ,471.36 ,608.00 
000001.SZ,平安银行,19971231,"186,923.28 ","283,039.70 ","120,784.12 ","1,238.00 ","54,838.30 "
000001.SZ,平安银行,19970630,"131,400.83 ","130,897.78 ",0.00 ,521.35 ,683.97 
000001.SZ,平安银行,19961231,"156,066.97 ","251,837.48 ","114,997.96 ","1,226.37 ","38,636.12 "
000001.SZ,平安银行,19960630,"114,494.33 ","112,209.70 ",0.00 ,346.84 ,372.43 
000001.SZ,平安银行,19951231,"98,024.63 ","179,854.54 ","86,788.80 ",743.43 ,"30,029.63 "
000001.SZ,平安银行,19950630,"84,249.90 ","83,132.43 ",0.00 ,71.34 ,207.99 
000001.SZ,平安银行,19941231,"74,047.04 ","125,344.41 ","59,948.91 ",99.94 ,"20,595.47 "
