stockid,stockname,date,ROE,ROA
600000.SH,浦发银行,20070930,0.0512,0.0017
600000.SH,浦发银行,20070630,0.0608,0.0021
600000.SH,浦发银行,20070331,0.0388,0.0014
600000.SH,浦发银行,20061231,0.0422,0.0014
600000.SH,浦发银行,20060930,0.0489,0.0013
600000.SH,浦发银行,20060630,0.053,0.0014
600000.SH,浦发银行,20060331,0.0463,0.0012
600000.SH,浦发银行,20051231,0.0464,0.0013
600000.SH,浦发银行,20050930,0.0462,0.0013
600000.SH,浦发银行,20050630,0.0418,0.0012
600000.SH,浦发银行,20050331,0.0373,0.0011
600000.SH,浦发银行,20041231,0.0413,0.0012
600000.SH,浦发银行,20040930,0.0401,0.0012
600000.SH,浦发银行,20040630,0.0375,0.0011
600000.SH,浦发银行,20040331,0.0346,0.0011
600000.SH,浦发银行,20031231,0.0411,0.0013
600000.SH,浦发银行,20030930,0.0376,0.0012
600000.SH,浦发银行,20030630,0.0312,0.0011
600000.SH,浦发银行,20030331,0.0337,0.0011
600015.SH,华夏银行,20140930,0.048,0.0025
600015.SH,华夏银行,20140630,0.0546,0.0028
600015.SH,华夏银行,20140331,0.0425,0.0022
600015.SH,华夏银行,20131231,0.0523,0.0027
600015.SH,华夏银行,20130930,0.0467,0.0025
600015.SH,华夏银行,20130630,0.0544,0.0029
600015.SH,华夏银行,20130331,0.0387,0.002
600015.SH,华夏银行,20121231,0.0496,0.0025
600015.SH,华夏银行,20120930,0.0444,0.0022
600015.SH,华夏银行,20120630,0.0552,0.0029
600015.SH,华夏银行,20120331,0.0361,0.0019
600015.SH,华夏银行,20111231,0.043,0.0023
600015.SH,华夏银行,20110930,0.0379,0.002
600015.SH,华夏银行,20110630,0.0533,0.0023
600015.SH,华夏银行,20110331,0.047,0.0016
600015.SH,华夏银行,20101231,0.042,0.0014
600015.SH,华夏银行,20100930,0.0455,0.0016
600015.SH,华夏银行,20100630,0.0529,0.0019
600015.SH,华夏银行,20100331,0.0423,0.0015
600015.SH,华夏银行,20091231,0.0377,0.0013
600015.SH,华夏银行,20090930,0.0341,0.0012
600015.SH,华夏银行,20090630,0.0343,0.0012
600015.SH,华夏银行,20090331,0.0254,0.0009
600015.SH,华夏银行,20081231,0.0016,0.0001
600015.SH,华夏银行,20080930,0.0779,0.0018
600015.SH,华夏银行,20080630,0.0781,0.0018
600015.SH,华夏银行,20080331,0.0611,0.0014
600015.SH,华夏银行,20071231,0.0365,0.0008
600015.SH,华夏银行,20070930,0.0505,0.0012
600015.SH,华夏银行,20070630,0.0463,0.0012
600015.SH,华夏银行,20070331,0.0386,0.001
600015.SH,华夏银行,20061231,0.0167,0.0005
600015.SH,华夏银行,20060930,0.0473,0.0013
600015.SH,华夏银行,20060630,0.0343,0.001
600015.SH,华夏银行,20060331,0.0351,0.001
600015.SH,华夏银行,20051231,0.0176,0.0005
600015.SH,华夏银行,20050930,0.0463,0.0014
600015.SH,华夏银行,20050630,0.0332,0.0011
600015.SH,华夏银行,20050331,0.032,0.001
600015.SH,华夏银行,20041231,0.0238,0.0008
600015.SH,华夏银行,20040930,0.032,0.0011
600015.SH,华夏银行,20040630,0.0254,0.0009
600015.SH,华夏银行,20040331,0.0305,0.0011
600015.SH,华夏银行,20031231,0.0153,0.0006
600015.SH,华夏银行,20030930,0.0387,0.0013
600016.SH,民生银行,20140930,0.0492,0.0031
600016.SH,民生银行,20140630,0.0595,0.0038
600016.SH,民生银行,20140331,0.062,0.004
600016.SH,民生银行,20131231,0.0463,0.0028
600016.SH,民生银行,20130930,0.0553,0.0032
600016.SH,民生银行,20130630,0.0657,0.0036
600016.SH,民生银行,20130331,0.0646,0.0035
600016.SH,民生银行,20121231,0.0551,0.003
600016.SH,民生银行,20120930,0.0642,0.0037
600016.SH,民生银行,20120630,0.0685,0.004
600016.SH,民生银行,20120331,0.0683,0.004
600016.SH,民生银行,20111231,0.0518,0.0031
600016.SH,民生银行,20110930,0.0628,0.0035
600016.SH,民生银行,20110630,0.0683,0.0037
600016.SH,民生银行,20110331,0.0579,0.0032
600016.SH,民生银行,20101231,0.0448,0.0026
600016.SH,民生银行,20100930,0.0422,0.0025
600016.SH,民生银行,20100630,0.0487,0.003
600016.SH,民生银行,20100331,0.0472,0.0029
600016.SH,民生银行,20091231,0.0258,0.0013
600016.SH,民生银行,20090930,0.0484,0.002
600016.SH,民生银行,20090630,0.0855,0.0038
600016.SH,民生银行,20090331,0.0452,0.0023
600016.SH,民生银行,20081231,0.0136,0.0007
600016.SH,民生银行,20080930,0.0465,0.0025
600016.SH,民生银行,20080630,0.0693,0.0035
600016.SH,民生银行,20080331,0.0497,0.0026
600016.SH,民生银行,20071231,0.0424,0.0022
600016.SH,民生银行,20070930,0.0338,0.0017
600016.SH,民生银行,20070630,0.0542,0.0022
600016.SH,民生银行,20070331,0.0557,0.0016
600016.SH,民生银行,20061231,0.0709,0.0019
600016.SH,民生银行,20060930,0.0487,0.0013
600016.SH,民生银行,20060630,0.0583,0.0016
600016.SH,民生银行,20060331,0.0482,0.0013
600016.SH,民生银行,20051231,0.047,0.0013
600016.SH,民生银行,20050930,0.0505,0.0014
600016.SH,民生银行,20050630,0.0485,0.0014
600016.SH,民生银行,20050331,0.0459,0.0013
600016.SH,民生银行,20041231,0.0369,0.0011
600016.SH,民生银行,20040930,0.0392,0.0012
600016.SH,民生银行,20040630,0.0536,0.0016
600016.SH,民生银行,20040331,0.0431,0.0012
600016.SH,民生银行,20031231,0.0398,0.0009
600016.SH,民生银行,20030930,0.0598,0.0012
600016.SH,民生银行,20030630,0.0547,0.0012
600016.SH,民生银行,20030331,0.0463,0.0011
600036.SH,招商银行,20140930,0.0522,0.0032
600036.SH,招商银行,20140630,0.0545,0.0033
600036.SH,招商银行,20140331,0.0545,0.0036
600036.SH,招商银行,20131231,0.0469,0.0031
600036.SH,招商银行,20130930,0.0563,0.0034
600036.SH,招商银行,20130630,0.0621,0.0036
600036.SH,招商银行,20130331,0.0628,0.0038
600036.SH,招商银行,20121231,0.0536,0.0032
600036.SH,招商银行,20120930,0.0613,0.0035
600036.SH,招商银行,20120630,0.0654,0.0037
600036.SH,招商银行,20120331,0.068,0.004
600036.SH,招商银行,20111231,0.0486,0.0029
600036.SH,招商银行,20110930,0.0654,0.0037
600036.SH,招商银行,20110630,0.0679,0.0037
600036.SH,招商银行,20110331,0.0637,0.0035
600036.SH,招商银行,20101231,0.0388,0.0022
600036.SH,招商银行,20100930,0.0572,0.0032
600036.SH,招商银行,20100630,0.06,0.0033
600036.SH,招商银行,20100331,0.056,0.0028
600036.SH,招商银行,20091231,0.0572,0.0025
600036.SH,招商银行,20090930,0.0561,0.0024
600036.SH,招商银行,20090630,0.0487,0.0021
600036.SH,招商银行,20090331,0.0521,0.0025
600036.SH,招商银行,20081231,0.0255,0.0012
600036.SH,招商银行,20080930,0.0714,0.0039
600036.SH,招商银行,20080630,0.091,0.005
600036.SH,招商银行,20080331,0.0885,0.0047
600036.SH,招商银行,20071231,0.0805,0.0042
600036.SH,招商银行,20070930,0.063,0.0033
600036.SH,招商银行,20070630,0.0628,0.0035
600036.SH,招商银行,20070331,0.0438,0.0026
600036.SH,招商银行,20061231,0.0498,0.0029
600036.SH,招商银行,20060930,0.0399,0.002
600036.SH,招商银行,20060630,0.0456,0.0019
600036.SH,招商银行,20060331,0.045,0.0017
600036.SH,招商银行,20051231,0.0287,0.001
600036.SH,招商银行,20050930,0.0474,0.0016
600036.SH,招商银行,20050630,0.0489,0.0017
600036.SH,招商银行,20050331,0.0493,0.0017
600036.SH,招商银行,20041231,0.0297,0.001
600036.SH,招商银行,20040930,0.0426,0.0015
600036.SH,招商银行,20040630,0.0463,0.0017
600036.SH,招商银行,20040331,0.044,0.0016
600036.SH,招商银行,20031231,0.0302,0.0011
600036.SH,招商银行,20030930,0.0332,0.0013
600036.SH,招商银行,20030630,0.0327,0.0013
600036.SH,招商银行,20030331,0.0341,0.0015
601009.SH,南京银行,20140930,0.0432,0.0025
601009.SH,南京银行,20140630,0.0502,0.0029
601009.SH,南京银行,20140331,0.0516,0.0031
601009.SH,南京银行,20131231,0.0407,0.0025
601009.SH,南京银行,20130930,0.0389,0.0024
601009.SH,南京银行,20130630,0.0468,0.0031
601009.SH,南京银行,20130331,0.0471,0.0033
601009.SH,南京银行,20121231,0.0434,0.0031
601009.SH,南京银行,20120930,0.0334,0.0024
601009.SH,南京银行,20120630,0.0503,0.0036
601009.SH,南京银行,20120331,0.0467,0.0035
601009.SH,南京银行,20111231,0.0414,0.0032
601009.SH,南京银行,20110930,0.0375,0.0029
601009.SH,南京银行,20110630,0.0409,0.0032
601009.SH,南京银行,20110331,0.0408,0.0034
601009.SH,南京银行,20101231,0.0297,0.0023
601009.SH,南京银行,20100930,0.047,0.0032
601009.SH,南京银行,20100630,0.0473,0.0033
601009.SH,南京银行,20100331,0.0475,0.0036
601009.SH,南京银行,20091231,0.0269,0.0022
601009.SH,南京银行,20090930,0.0366,0.0031
601009.SH,南京银行,20090630,0.0336,0.0032
601009.SH,南京银行,20090331,0.036,0.004
601009.SH,南京银行,20081231,0.022,0.0026
601009.SH,南京银行,20080930,0.0406,0.0046
601009.SH,南京银行,20080630,0.0367,0.0043
601009.SH,南京银行,20080331,0.0403,0.005
601009.SH,南京银行,20071231,0.0267,0.0034
601009.SH,南京银行,20070930,0.0477,0.0038
601009.SH,南京银行,20070630,0.0725,0.0026
601166.SH,兴业银行,20140930,0.0562,0.0032
601166.SH,兴业银行,20140630,0.0559,0.0032
601166.SH,兴业银行,20140331,0.0645,0.0036
601166.SH,兴业银行,20131231,0.0411,0.0022
601166.SH,兴业银行,20130930,0.0605,0.0032
601166.SH,兴业银行,20130630,0.0583,0.003
601166.SH,兴业银行,20130331,0.0626,0.0033
601166.SH,兴业银行,20121231,0.0545,0.0027
601166.SH,兴业银行,20120930,0.069,0.0032
601166.SH,兴业银行,20120630,0.0695,0.0033
601166.SH,兴业银行,20120331,0.0693,0.0033
601166.SH,兴业银行,20111231,0.0605,0.003
601166.SH,兴业银行,20110930,0.063,0.0031
601166.SH,兴业银行,20110630,0.0707,0.0035
601166.SH,兴业银行,20110331,0.0552,0.0028
601166.SH,兴业银行,20101231,0.0545,0.0027
601166.SH,兴业银行,20100930,0.0559,0.0027
601166.SH,兴业银行,20100630,0.0643,0.0029
601166.SH,兴业银行,20100331,0.0672,0.0029
601166.SH,兴业银行,20091231,0.0643,0.0029
601166.SH,兴业银行,20090930,0.0615,0.0027
601166.SH,兴业银行,20090630,0.0625,0.0028
601166.SH,兴业银行,20090331,0.0582,0.0028
601166.SH,兴业银行,20081231,0.0409,0.002
601166.SH,兴业银行,20080930,0.0637,0.0031
601166.SH,兴业银行,20080630,0.0805,0.0039
601166.SH,兴业银行,20080331,0.0763,0.0036
601166.SH,兴业银行,20071231,0.0675,0.003
601166.SH,兴业银行,20070930,0.0665,0.0028
601166.SH,兴业银行,20070630,0.066,0.0029
601166.SH,兴业银行,20070331,0.0571,0.0021
601169.SH,北京银行,20140930,0.0418,0.0025
601169.SH,北京银行,20140630,0.0506,0.003
601169.SH,北京银行,20140331,0.056,0.0033
601169.SH,北京银行,20131231,0.0314,0.0019
601169.SH,北京银行,20130930,0.0418,0.0027
601169.SH,北京银行,20130630,0.0483,0.0031
601169.SH,北京银行,20130331,0.0559,0.0036
601169.SH,北京银行,20121231,0.0241,0.0015
601169.SH,北京银行,20120930,0.0519,0.0032
601169.SH,北京银行,20120630,0.0456,0.0029
601169.SH,北京银行,20120331,0.0582,0.0034
601169.SH,北京银行,20111231,0.0238,0.0013
601169.SH,北京银行,20110930,0.0568,0.0032
601169.SH,北京银行,20110630,0.0566,0.0033
601169.SH,北京银行,20110331,0.0575,0.0034
601169.SH,北京银行,20101231,0.0201,0.0012
601169.SH,北京银行,20100930,0.0491,0.0031
601169.SH,北京银行,20100630,0.045,0.003
601169.SH,北京银行,20100331,0.054,0.0038
601169.SH,北京银行,20091231,0.0335,0.0024
601169.SH,北京银行,20090930,0.0409,0.003
601169.SH,北京银行,20090630,0.0403,0.0031
601169.SH,北京银行,20090331,0.0436,0.0035
601169.SH,北京银行,20081231,0.0316,0.0025
601169.SH,北京银行,20080930,0.0496,0.0039
601169.SH,北京银行,20080630,0.0457,0.0036
