stockid,stockname,date,asset,asset,equity,eta
000001.SZ,平安银行,20011231,12012698.34,16.30147484,362766.88,0.030198617
000001.SZ,平安银行,20010630,8518142.68,15.95770888,496182.41,0.05825007
000001.SZ,平安银行,20001231,6722749.98,15.72100785,473888.37,0.070490256
000001.SZ,平安银行,20000630,4973233.65,15.41958082,307851.26,0.061901628
000001.SZ,平安银行,19991231,4586897.21,15.33871436,290083.07,0.063241677
000001.SZ,平安银行,19990630,3871211.3,15.16907801,391754.93,0.10119699
000001.SZ,平安银行,19981231,3939985.86,15.18668769,367636.32,0.093309046
000001.SZ,平安银行,19980630,3487337.23,15.06464903,377697.4,0.108305385
000001.SZ,平安银行,19971231,3179862.87,14.97234863,340068.17,0.106944288
000001.SZ,平安银行,19970630,3053193.37,14.93169861,298246.74,0.097683541
000001.SZ,平安银行,19961231,3002202.97,14.9148569,253968.69,0.084594111
000001.SZ,平安银行,19960630,2429676.89,14.70326884,232489.48,0.095687406
000001.SZ,平安银行,19951231,2031247.56,14.52416072,196053.89,0.096518954
000001.SZ,平安银行,19950630,1743993.04,14.37168789,186832.63,0.107129229
000001.SZ,平安银行,19941231,1548841.2,14.2530176,165983.3,0.107166119
000001.SZ,平安银行,19940630,1246595.38,14.0359267,151291.35,0.121363638
000001.SZ,平安银行,19931231,932322.44,13.745434,120880.48,0.12965523
000001.SZ,平安银行,19921231,752284.74,13.53087017,54566.22,0.072533998
000001.SZ,平安银行,19911231,435446,12.98412607,57796,0.132728283
000001.SZ,平安银行,19901231,291919,12.58423165,23651,0.08101905
000001.SZ,平安银行,19891231,168166,12.03270687,14406,0.085665354
002142.SZ,宁波银行,20140930,53792024.5,17.80063577,3273068.6,0.060846726
002142.SZ,宁波银行,20140630,52422890.2,17.77485389,2922081.4,0.055740563
002142.SZ,宁波银行,20140331,53174835.7,17.78909583,2735786.3,0.051448891
002142.SZ,宁波银行,20131231,46777260.1,17.66090775,2552188.8,0.054560459
002142.SZ,宁波银行,20130930,45244979,17.62760226,2502501,0.055310027
002142.SZ,宁波银行,20130630,44394959.9,17.60863651,2466835.7,0.05556567
