stockid,stockname,date,loan,provision_coverage,loanlossreserve_loan,netcapital,CAR,Core1_netcapital,Core1CAR,RWA,核心资本充足率(%)
601398.SH,工商银行,20090630,543646900,1.382,0.0251,66432800,0.1209,54783707,0.0997,549485525,9.97
601398.SH,工商银行,20081231,457199400,1.3015,0.0297,62003300,0.1306,51054900,0.1075,474889300,10.75
601398.SH,工商银行,20080630,435536500,1.1608,0.028,57013800,0.1246,47267460,0.1033,457574639,10.33
601398.SH,工商银行,20071231,407322900,1.035,0.0284,57674100,0.1309,48408500,0.1099,440534500,10.99
601398.SH,工商银行,20070630,391560600,0.8125,0.0267,55224100,0.1367,47779000,0.1183,403980249,11.83
601398.SH,工商银行,20061231,363117100,0.7056,0.0268,53080500,0.1405,46201900,0.1223,377917000,12.23
601398.SH,工商银行,20060630,346108000,0.6037,0.0248,36955100,0.1074,30854400,0.0897,344088454.4,8.97
601398.SH,工商银行,20051231,328955300,0.542,0.0254,31184400,0.0989,25558600,0.0811,315312436.8,8.11
601398.SH,工商银行,20041231,370774800,0.7628,0.0161,26411500,0.07705,22983660.93,0.06705,342783906.6,
601398.SH,工商银行,20031231,340227700,0.7715,0.0187,21638600,0.0552,17295300,0.0441,392003623,4.77
601818.SH,光大银行,20141231,,,,,,,,189823100,9.95
601818.SH,光大银行,20140930,127214400,1.97,0.021,22467072.06,0.1242,17115300,0.0946,180894300,
601818.SH,光大银行,20140630,124535600,1.8549,0.0207,20321500,0.1182,16329000,0.0897,181954700,9.52
601818.SH,光大银行,20131231,116631000,2.4102,0.0207,17535100,0.1057,15112100,0.0911,165886100,9.63
601818.SH,光大银行,20130630,110455400,2.9283,0.0234,15901800,0.1055,12522900,0.0831,150727962,8.34
601818.SH,光大银行,20121231,102318700,3.3963,0.0253,15210300,0.1099,11072102,0.08,138401274,8
601818.SH,光大银行,20120630,97248698.3,3.7107,0.0239,14199500,0.1114,10260859,0.0805,127464093,8.05
601818.SH,光大银行,20111231,89036500,3.67,0.0236,11989000,0.1057,8949216,0.0789,113424787,7.89
601818.SH,光大银行,20110630,85117900,3.5861,0.0241,11470800,0.1082,8544792,0.0806,106014787,8.06
601818.SH,光大银行,20101231,77951800,3.1338,0.0234,10331200,0.1102,7640588,0.0815,93749546,8.15
601818.SH,光大银行,20100630,72585539.8,2.3814,0.0225,7825312.4,0.0936,5350641,0.064,83603765,6.4
601818.SH,光大银行,20091231,64896900,1.9466,0.0243,7051200,0.1039,4641983,0.0684,67865255,6.84
601818.SH,光大银行,20081231,46848700,1.5125,0.03,4370500,0.091,2870500,0.0598,48027473,5.98
601818.SH,光大银行,20071231,41756700,0.9281,0.0411,2670800,0.0719,2303054,0.062,37146036,6.2
601818.SH,光大银行,20061231,33424730.2,0.9018,0.0387,381048.901,0.0139,381048.901,0.0139,27413590,0.39
601818.SH,光大银行,20051231,28550394.8,0.8573,0.0352,302981,0.0147,302981,0.0147,20610952.38,1.47
601818.SH,光大银行,20041231,23676059.4,0.8619,0.0329,1126959.528,0.0455,1126959.528,0.0455,24768341.28,
601939.SH,建设银行,20141231,,,,,,,,1020364300,12.09
601939.SH,建设银行,20140930,934948900,2.3447,0.0282,148467803,0.145,119286200,0.1165,1023915880,11.89
601939.SH,建设银行,20140630,919060100,2.4887,0.0259,143959209,0.1424,113288400,0.1121,1010949500,11.7
601939.SH,建设银行,20131231,859005700,2.6822,0.0266,131672400,0.1334,106170000,0.1075,987279000,11.14
601939.SH,建设银行,20130630,809505200,2.652,0.0263,131564860,0.1418,98905600,0.1066,927819887,11.37
601939.SH,建设银行,20121231,751231200,2.7129,0.0269,109342900,0.1432,86477850,0.1132,763770500,11.32
601939.SH,建设银行,20120630,706134300,2.6238,0.0262,99977600,0.1382,80951472,0.1119,723426918,11.19
601939.SH,建设银行,20111231,649641100,2.4144,0.0264,92450600,0.1368,74158480,0.1097,676011700,10.97
601939.SH,建设银行,20110630,614038700,2.4468,0.0253,82335500,0.1251,68580009,0.1042,658157474,10.42
601939.SH,建设银行,20101231,566912800,2.2114,0.0252,76244900,0.1268,62559420,0.104,601532900,10.4
601939.SH,建设银行,20100630,534938200,2.0472,0.0249,65776100,0.1168,52204148,0.0927,563151541,9.27
601939.SH,建设银行,20091231,481977300,1.7577,0.0263,60823300,0.117,48394400,0.0931,519754500,9.31
601939.SH,建设银行,20090630,452535700,1.5051,0.0257,58549000,0.1197,45489198,0.093,489131161,9.3
601939.SH,建设银行,20081231,379394300,1.3158,0.0291,51041600,0.1216,42672400,0.1017,419649300,10.17
601939.SH,建设银行,20080630,353753700,1.1723,0.0259,49004000,0.1206,40958567,0.1008,406334992,10.08
601939.SH,建设银行,20071231,327215700,1.0441,0.0272,46318200,0.1258,38203100,0.1037,368312300,10.37
601939.SH,建设银行,20070630,316537300,0.9067,0.0268,39395000,0.1134,32759687,0.0943,347398589,9.43
601939.SH,建设银行,20061231,287351600,0.8224,0.027,37439500,0.1211,30672500,0.0992,309108900,9.92
601939.SH,建设银行,20051231,245839800,0.6678,0.0257,34810400,0.1359,28391400,0.1108,256147167,11.08
601939.SH,建设银行,20041231,222742600,0.6164,0.0242,25598800,0.1129,19423800,0.0857,226738707,8.6
601939.SH,建设银行,20031231,212213400,0.4084,0.0372,12683000,0.0651,11442200,0.0587,194823349,5.88
601939.SH,建设银行,20021231,176638800,0.1015,0.0154,10939000,0.0691,9150133.14,0.0578,158306801.7,5.78
601939.SH,建设银行,20011231,150590600,0.0794,0.0153,9195000,0.0688,7858517.442,0.0588,133648255.8,6.59
601988.SH,中国银行,20141231,,,,,,,,993410500,11.04
601988.SH,中国银行,20140930,844440300,2.077,0.0221,127022571,0.1346,99183300,0.1051,943704091,10.78
601988.SH,中国银行,20140630,842459500,2.1702,0.0221,123873645,0.1314,95348200,0.1011,942721800,10.45
601988.SH,中国银行,20131231,760779100,2.2935,0.0221,117334700,0.1246,91364600,0.097,941872600,10.73
601988.SH,中国银行,20130630,743963300,2.3896,0.0223,121496872,0.1333,84467800,0.0927,911454400,10.47
601988.SH,中国银行,20121231,686469600,2.363,0.0225,98865800,0.1363,76426100,0.1054,725323000,10.54
601988.SH,中国银行,20120630,675366400,2.3256,0.0219,92095900,0.13,71905645,0.1015,708430000,10.15
601988.SH,中国银行,20111231,634281400,2.2075,0.022,86427100,0.1298,67124400,0.1008,665603400,10.07
601988.SH,中国银行,20110630,621652400,2.1729,0.0217,84818900,0.1295,65562717,0.1001,654972201,10.01
601988.SH,中国银行,20101231,566062100,1.9667,0.0217,74070400,0.1258,59378700,0.1009,588717000,10.09
601988.SH,中国银行,20100630,539187900,1.8844,0.0226,65769400,0.1173,52312745,0.0933,560693947,9.33
601988.SH,中国银行,20091231,491035800,1.5117,0.023,57502400,0.1114,46823100,0.0907,516384800,9.07
601988.SH,中国银行,20090630,431347400,1.3896,0.025,57326900,0.1153,46885747,0.0943,497197745,9.43
601988.SH,中国银行,20081231,329614600,1.2172,0.0323,53279300,0.1343,42875100,0.1081,396694300,10.81
601988.SH,中国银行,20080630,324284000,1.2039,0.0311,54260700,0.1378,42723410,0.1085,393764151,10.85
601988.SH,中国银行,20071231,285056100,1.0818,0.0337,50064000,0.1334,40045400,0.1067,375410800,10.67
601988.SH,中国银行,20070630,267113000,1.0392,0.037,50105500,0.1339,42359541,0.1132,374200896,11.32
601988.SH,中国银行,20061231,243180600,0.96,0.0388,47136200,0.1359,39685500,0.1144,346901700,11.44
601988.SH,中国银行,20060630,240553600,0.8744,0.0366,45202700,0.124,38641018,0.106,364537903,10.6
601988.SH,中国银行,20051231,223504600,0.8055,0.0372,32623700,0.1042,25297000,0.0808,313087332,8.08
601988.SH,中国银行,20041231,214646200,0.6802,0.0348,27047800,0.1004,22844700,0.0848,269400398,8.5
601988.SH,中国银行,20031231,215747300,0.6729,0.01095,20415800,0.0769,18878000,0.0711,265485046,
601998.SH,中信银行,20141231,218790800,1.8126,0.0236,40426104,0.137427702,26278600,0.0893,294162700,9.67
601998.SH,中信银行,20140630,211914400,1.9268,0.023,34823652,0.1253,24196500,0.0871,277922200,9.51
601998.SH,中信银行,20131231,194117500,2.0662,0.0213,29221200,0.1124,22838000,0.0878,260049400,9.05
601998.SH,中信银行,20130630,182455200,2.2393,0.0201,30826048,0.1289,21333400,0.0892,239147000,9.63
601998.SH,中信银行,20121231,166290100,2.8825,0.0212,26344100,0.1344,19398200,0.0989,196012649,9.89
601998.SH,中信银行,20120630,153535200,2.7318,0.0167,24642000,0.1344,18429400,0.100515841,183348214,10.05
601998.SH,中信银行,20111231,143403700,2.7231,0.0162,20986800,0.1227,16946600,0.0991,171041565,9.91
601998.SH,中信银行,20110630,135481900,2.3823,0.0148,17246800,0.114,13415500,0.0887,151287719,8.87
601998.SH,中信银行,20101231,126424500,2.1351,0.0144,15661400,0.1131,11698800,0.0845,138526200,8.45
601998.SH,中信银行,20100630,119283800,1.6992,0.0138,14873200,0.1095,11219000,0.0826,135828311,8.26
601998.SH,中信银行,20091231,106564900,1.4936,0.0142,11858800,0.1072,10152700,0.0917,110664800,9.17
601998.SH,中信银行,20090630,98874800,1.5005,0.0167,11377200,0.1204,9874729,0.1045,94495017,10.45
601998.SH,中信银行,20081231,66492400,1.5003,0.0204,10687000,0.1432,9199300,0.1232,74654700,12.32
601998.SH,中信银行,20080630,63381200,1.1541,0.0168,10288100,0.1428,8890417,0.1234,72045518,12.34
601998.SH,中信银行,20071231,57520800,1.1001,0.0162,9517100,0.1527,8189400,0.1314,62330000,13.14
601998.SH,中信银行,20070630,53551900,0.8519,0.0156,9045200,0.1599,7790400,0.1377,56567855,13.78
601998.SH,中信银行,20061231,46316700,0.8462,0.0211,4441100,0.0941,3102700,0.0657,47195700,6.57
601998.SH,中信银行,20051231,37025400,0.7988,0.033,3015900,0.0811,2126900,0.0572,37187423,5.72
601998.SH,中信银行,20041231,30657100,0.7758,0.0488,2907000,0.08505,2565201.058,0.07505,34179894.18,
601998.SH,中信银行,20031231,26189100,0.147,0.0119,2798100,0.089,2483706.742,0.079,31439325.84,7.63
