stockid,stockname,date,SD,LD
601988.SH,中国银行,20120930,1151080000.00 ,40515600.00 
601988.SH,中国银行,20120630,1162507000.00 ,40890300.00 
601988.SH,中国银行,20120331,1171648300.00 ,38143000.00 
601988.SH,中国银行,20111231,1070450600.00 ,36966600.00 
601988.SH,中国银行,20110930,1044514000.00 ,35898500.00 
601988.SH,中国银行,20110630,1041454500.00 ,36582800.00 
601988.SH,中国银行,20110331,1021135800.00 ,32334600.00 
601988.SH,中国银行,20101231,947640900.00 ,30730600.00 
601988.SH,中国银行,20100930,920974200.00 ,29474800.00 
601988.SH,中国银行,20100630,883824700.00 ,28024900.00 
601988.SH,中国银行,20100331,891133500.00 ,23684800.00 
601988.SH,中国银行,20091231,799329200.00 ,21325700.00 
601988.SH,中国银行,20090930,758531100.00 ,23269100.00 
601988.SH,中国银行,20090630,747135000.00 ,23692800.00 
601988.SH,中国银行,20090331,721383400.00 ,20224400.00 
601988.SH,中国银行,20081231,625464800.00 ,20714500.00 
601988.SH,中国银行,20080930,591300300.00 ,20351700.00 
601988.SH,中国银行,20080630,580012000.00 ,22333100.00 
601988.SH,中国银行,20080331,522655200.00 ,25032600.00 
601988.SH,中国银行,20071231,495040600.00 ,25012800.00 
601988.SH,中国银行,20070930,490370700.00 ,19409500.00 
601988.SH,中国银行,20070630,484337700.00 ,18010300.00 
601988.SH,中国银行,20070331,469462900.00 ,15507800.00 
601988.SH,中国银行,20061231,428467800.00 ,14100600.00 
601988.SH,中国银行,20060930,482427824.74 ,3779475.26 
601988.SH,中国银行,20060630,480174273.92 ,3873726.08 
601988.SH,中国银行,20051231,376085600.00 ,13484900.00 
601988.SH,中国银行,20041231,343474800.00 ,12597900.00 
601988.SH,中国银行,20031231,313656300.00 ,19722900.00 
601998.SH,中信银行,20140930,363997600.00 ,14822600.00 
601998.SH,中信银行,20140630,394825300.00 ,11623600.00 
601998.SH,中信银行,20140331,364128200.00 ,9687800.00 
601998.SH,中信银行,20131231,331109700.00 ,9937100.00 
601998.SH,中信银行,20130930,310772900.00 ,5609200.00 
601998.SH,中信银行,20130630,314593000.00 ,6447000.00 
601998.SH,中信银行,20130331,284576300.00 ,6052500.00 
601998.SH,中信银行,20121231,269492200.00 ,6193100.00 
601998.SH,中信银行,20120930,264866200.00 ,6361400.00 
601998.SH,中信银行,20120630,265770500.00 ,6618000.00 
601998.SH,中信银行,20120331,242872600.00 ,4085400.00 
601998.SH,中信银行,20111231,254831800.00 ,3878200.00 
601998.SH,中信银行,20110930,206081900.00 ,3666200.00 
601998.SH,中信银行,20110630,206920700.00 ,3635400.00 
601998.SH,中信银行,20110331,197197100.00 ,4110100.00 
601998.SH,中信银行,20101231,191780700.00 ,3896900.00 
601998.SH,中信银行,20100930,178842800.00 ,3814700.00 
601998.SH,中信银行,20100630,178414700.00 ,4179900.00 
601998.SH,中信银行,20100331,161685100.00 ,2408200.00 
601998.SH,中信银行,20091231,164654100.00 ,2148200.00 
601998.SH,中信银行,20090930,131078300.00 ,1465000.00 
601998.SH,中信银行,20090630,128434900.00 ,1806500.00 
601998.SH,中信银行,20090331,114153000.00 ,1575900.00 
601998.SH,中信银行,20081231,107746300.00 ,1502800.00 
601998.SH,中信银行,20080930,98037900.00 ,1391900.00 
601998.SH,中信银行,20080630,101234500.00 ,1466700.00 
601998.SH,中信银行,20080331,97372300.00 ,1627600.00 
601998.SH,中信银行,20071231,91340200.00 ,1369300.00 
601998.SH,中信银行,20070930,83365200.00 ,1422500.00 
601998.SH,中信银行,20070630,77498100.00 ,1459200.00 
601998.SH,中信银行,20061231,66165500.00 ,1337400.00 
601998.SH,中信银行,20051231,56264700.00 ,727300.00 
601998.SH,中信银行,20041231,46934600.00 ,676200.00 
601998.SH,中信银行,20031231,40295804.20 ,0.00 
601998.SH,中信银行,20021231,233324.80 ,0.00 
