stockid,stockname,year,quarter,rf,SV,sigma_SV,AV,sigma_AV,DP,DD,EDF
1,平安银行,2010,3,0.008055,60593876992,0.071312822,6.91E+11,0.006251054,6.36E+11,12.8423464,4.75E-38
1,平安银行,2010,4,0.0065625,60618100736,0.163913891,7.40E+11,0.013428932,6.84E+11,5.650641467,7.99E-09
1,平安银行,2011,1,0.0075,55337209856,0.12088751,8.07E+11,0.008286269,7.58E+11,7.425913066,5.60E-14
1,平安银行,2011,2,0.008125,60658663424,0.142629638,8.47E+11,0.010218983,7.92E+11,6.270035863,1.80E-10
1,平安银行,2011,3,0.00875,80638844928,0.14262408,1.15E+12,0.010011109,1.08E+12,6.195193939,2.91E-10
1,平安银行,2011,4,0.00875,82281865216,0.116220824,1.17E+12,0.008151546,1.10E+12,7.601802583,1.46E-14
1,平安银行,2012,1,0.00875,84082130944,0.111586817,1.30E+12,0.007201107,1.23E+12,7.819967891,2.64E-15
1,平安银行,2012,2,0.008125,80778739712,0.107380107,1.44E+12,0.006014866,1.37E+12,8.032363509,4.78E-16
1,平安银行,2012,3,0.0075,74069458944,0.094949581,1.42E+12,0.004955366,1.36E+12,9.091991045,4.86E-20
1,平安银行,2012,4,0.0075,70255411200,0.136321411,1.57E+12,0.006110452,1.51E+12,6.158809367,3.66E-10
1,平安银行,2013,1,0.0075,1.05411E+11,0.312169194,1.80E+12,0.018256413,1.71E+12,2.81350825,0.002450206
1,平安银行,2013,2,0.0075,1.00034E+11,0.22828652,1.81E+12,0.012590705,1.73E+12,3.815506125,6.80E-05
1,平安银行,2013,3,0.0075,87444054016,0.228799775,1.83E+12,0.010956782,1.75E+12,3.716439479,0.000101025
1,平安银行,2013,4,0.0075,1.06481E+11,0.195681661,1.86E+12,0.011183746,1.77E+12,4.475675146,3.81E-06
1,平安银行,2014,1,0.0075,1.06104E+11,0.149432778,2.06E+12,0.007711877,1.96E+12,5.766168679,4.05E-09
1,平安银行,2014,2,0.0075,1.08114E+11,0.106953159,2.09E+12,0.005532319,2.00E+12,8.059508577,3.83E-16
1,平安银行,2014,3,0.0075,1.17124E+11,0.103077844,2.09E+12,0.005777752,1.99E+12,8.471477634,1.21E-17
2142,宁波银行,2007,3,0.009,66450001920,0.26567322,1.31E+11,0.134926063,64974073856,3.731047218,9.53E-05
2142,宁波银行,2007,4,0.01035,51032915968,0.254461974,1.17E+11,0.111191464,66440171520,3.877179185,5.28E-05
2142,宁波银行,2008,1,0.01035,45074575360,0.269517601,1.17E+11,0.10343271,73130680320,3.648345118,0.000131967
2142,宁波银行,2008,2,0.01035,32922130432,0.297716022,1.10E+11,0.088802406,78260436992,3.276594877,0.000525335
2142,宁波银行,2008,3,0.01035,22955952128,0.312746167,1.12E+11,0.064168827,89869557760,3.068083585,0.001077182
2142,宁波银行,2008,4,0.008055,17255952384,0.30473724,1.08E+11,0.048707209,91457290240,3.141443265,0.000840587
2142,宁波银行,2009,1,0.008055,21211404288,0.231360033,1.26E+11,0.038889164,1.06E+11,4.149256067,1.67E-05
2142,宁波银行,2009,2,0.008055,26204508160,0.169837251,1.40E+11,0.03176216,1.15E+11,5.680981282,6.70E-09
2142,宁波银行,2009,3,0.008055,31853787136,0.223847717,1.61E+11,0.044398752,1.30E+11,4.321294358,7.76E-06
2142,宁波银行,2009,4,0.008055,36881248256,0.204583913,1.86E+11,0.040495323,1.51E+11,4.727786208,1.13E-06
2142,宁波银行,2010,1,0.008055,38832758784,0.179611042,2.06E+11,0.033795938,1.69E+11,5.373309687,3.87E-08
2142,宁波银行,2010,2,0.008055,31715416064,0.24445647,2.26E+11,0.034248854,1.96E+11,3.887630991,5.06E-05
2142,宁波银行,2010,3,0.008055,30798016512,0.149796247,2.50E+11,0.018470797,2.21E+11,6.291869979,1.57E-10
2142,宁波银行,2010,4,0.0065625,36639047680,0.1800946,2.78E+11,0.023724214,2.43E+11,5.311670972,5.43E-08
2142,宁波银行,2011,1,0.0075,37132173312,0.15313682,2.86E+11,0.019916879,2.50E+11,6.201287454,2.80E-10
2142,宁波银行,2011,2,0.008125,35087114240,0.116857313,2.74E+11,0.014945654,2.41E+11,8.081406444,3.20E-16
2142,宁波银行,2011,3,0.00875,29600864256,0.146015212,2.39E+11,0.018113902,2.11E+11,6.423615774,6.65E-11
2142,宁波银行,2011,4,0.00875,27529431040,0.119238362,2.63E+11,0.012496281,2.37E+11,7.756986466,4.35E-15
2142,宁波银行,2012,1,0.00875,27913394176,0.116755746,2.66E+11,0.012235534,2.41E+11,7.921892508,1.17E-15
2142,宁波银行,2012,2,0.008125,28663709696,0.167062491,2.78E+11,0.017252016,2.51E+11,5.561738787,1.34E-08
2142,宁波银行,2012,3,0.0075,27902517248,0.113582388,3.37E+11,0.009398702,3.12E+11,8.069479078,3.53E-16
2142,宁波银行,2012,4,0.0075,26624282624,0.160914749,3.68E+11,0.011627093,3.44E+11,5.613784524,9.90E-09
2142,宁波银行,2013,1,0.0075,32342562816,0.218619764,4.17E+11,0.016936771,3.88E+11,4.16409435,1.56E-05
2142,宁波银行,2013,2,0.0075,29289498624,0.163351431,4.29E+11,0.011150124,4.03E+11,5.492689562,1.98E-08
2142,宁波银行,2013,3,0.0075,24673787904,0.16594708,4.33E+11,0.009457421,4.11E+11,5.275373483,6.62E-08
2142,宁波银行,2013,4,0.0075,26457399296,0.118292786,4.49E+11,0.006967983,4.26E+11,7.436843179,5.16E-14
2142,宁波银行,2014,1,0.0075,25619265536,0.12053404,5.10E+11,0.006050548,4.88E+11,7.114651372,5.61E-13
2142,宁波银行,2014,2,0.0075,26093375488,0.068535589,5.03E+11,0.003555629,4.80E+11,12.58354181,1.30E-36
2142,宁波银行,2014,3,0.0075,27617892352,0.104930043,5.04E+11,0.005749696,4.80E+11,8.292583303,5.54E-17
600000,浦发银行,1999,4,0.005625,62900998144,0.102189668,1.57E+11,0.040841477,95016878080,9.70280924,1.47E-22
600000,浦发银行,2000,2,0.005625,58383855616,0.085079446,1.63E+11,0.030495325,1.05E+11,11.63504694,1.37E-31
600000,浦发银行,2000,4,0.005625,52110626816,0.085229829,1.75E+11,0.025423362,1.23E+11,11.57728877,2.69E-31
600000,浦发银行,2001,2,0.005625,49243529216,0.06874188,1.91E+11,0.017709063,1.43E+11,14.31070207,9.38E-47
600000,浦发银行,2001,3,0.005625,40769785856,0.171199903,1.94E+11,0.035901234,1.55E+11,5.716952373,5.42E-09
600000,浦发银行,2001,4,0.005625,38492835840,0.160078824,2.04E+11,0.030178376,1.67E+11,6.095243475,5.46E-10
600000,浦发银行,2002,1,0.00495,35863633920,0.199956685,2.05E+11,0.035005382,1.70E+11,4.884142358,5.19E-07
600000,浦发银行,2002,2,0.00495,37825753088,0.148610175,2.38E+11,0.023593119,2.01E+11,6.552078534,2.84E-11
600000,浦发银行,2002,3,0.00495,42918764544,0.120594442,2.77E+11,0.018679773,2.35E+11,8.067755102,3.58E-16
600000,浦发银行,2002,4,0.00495,37865644032,0.122630671,3.08E+11,0.015082823,2.71E+11,7.866030497,1.83E-15
600000,浦发银行,2003,1,0.00495,38333231104,0.175967455,3.06E+11,0.022053787,2.69E+11,5.486061283,2.05E-08
600000,浦发银行,2003,2,0.00495,48956399616,0.203470185,3.79E+11,0.026290886,3.32E+11,4.750367901,1.02E-06
600000,浦发银行,2003,3,0.00495,42450464768,0.122676991,3.90E+11,0.013336075,3.50E+11,7.81984388,2.64E-15
600000,浦发银行,2003,4,0.00495,37440237568,0.1571071,3.95E+11,0.014902285,3.59E+11,6.063682697,6.65E-10
600000,浦发银行,2004,1,0.00495,44137431040,0.168503359,4.22E+11,0.017616977,3.80E+11,5.682373811,6.64E-09
600000,浦发银行,2004,2,0.00495,37499826176,0.118227981,4.37E+11,0.010146456,4.01E+11,8.011142168,5.68E-16
600000,浦发银行,2004,3,0.00495,34596737024,0.138728231,4.43E+11,0.010826519,4.11E+11,6.785765124,5.77E-12
600000,浦发银行,2004,4,0.005625,29211033600,0.115475804,4.69E+11,0.007196035,4.42E+11,7.924788479,1.14E-15
600000,浦发银行,2005,1,0.005625,28685764608,0.191837534,4.69E+11,0.011722491,4.43E+11,4.760949419,9.63E-07
600000,浦发银行,2005,2,0.005625,27814770688,0.154050693,5.03E+11,0.008511209,4.78E+11,5.865233147,2.24E-09
600000,浦发银行,2005,3,0.005625,32311799808,0.136418849,5.34E+11,0.008252643,5.05E+11,6.688194349,1.13E-11
600000,浦发银行,2005,4,0.005625,34293442560,0.134156093,5.84E+11,0.007877272,5.53E+11,6.779958657,6.01E-12
600000,浦发银行,2006,1,0.005625,43707478016,0.175631732,6.24E+11,0.012298078,5.84E+11,5.267172044,6.93E-08
600000,浦发银行,2006,2,0.005625,39760089088,0.258109748,6.41E+11,0.015999298,6.05E+11,3.543481006,0.000197441
600000,浦发银行,2006,3,0.0063,37966467072,0.141907558,6.47E+11,0.008332556,6.12E+11,6.332919057,1.20E-10
600000,浦发银行,2006,4,0.0063,62999744512,0.253337502,7.15E+11,0.022319492,6.56E+11,3.689022661,0.000112559
600000,浦发银行,2007,1,0.006975,1.04357E+11,0.34158802,7.58E+11,0.047058738,6.58E+11,2.796803336,0.002580547
600000,浦发银行,2007,2,0.00765,1.34784E+11,0.240578204,8.53E+11,0.037991974,7.24E+11,3.986430504,3.35E-05
600000,浦发银行,2007,3,0.009,1.96674E+11,0.23483035,9.88E+11,0.046737501,7.99E+11,4.103453779,2.04E-05
600000,浦发银行,2007,4,0.01035,2.29422E+11,0.239866361,1.08E+12,0.051061219,8.57E+11,4.008605374,3.05E-05
600000,浦发银行,2008,1,0.01035,1.96269E+11,0.359690189,1.08E+12,0.065330106,8.95E+11,2.646823338,0.004062589
600000,浦发银行,2008,2,0.01035,1.53654E+11,0.3319574,1.08E+12,0.04710196,9.40E+11,2.82111834,0.002392827
600000,浦发银行,2008,3,0.01035,1.15757E+11,0.343373328,1.15E+12,0.034463655,1.05E+12,2.637396052,0.004177261
600000,浦发银行,2008,4,0.008055,75971690496,0.389212281,1.30E+12,0.022820528,1.23E+12,2.223867625,0.013078676
600000,浦发银行,2009,1,0.008055,99501694976,0.250591457,1.52E+12,0.016450923,1.43E+12,3.531142213,0.000206885
600000,浦发银行,2009,2,0.008055,1.45898E+11,0.203290179,1.68E+12,0.017641968,1.55E+12,4.500433783,3.39E-06
600000,浦发银行,2009,3,0.008055,1.8064E+11,0.25075689,1.67E+12,0.027044153,1.51E+12,3.721081308,9.92E-05
600000,浦发银行,2009,4,0.008055,1.96496E+11,0.17217429,1.72E+12,0.019672832,1.54E+12,5.44393963,2.61E-08
600000,浦发银行,2010,1,0.008055,1.82339E+11,0.14507401,1.74E+12,0.015199595,1.57E+12,6.416692671,6.96E-11
600000,浦发银行,2010,2,0.008055,1.74419E+11,0.186733991,1.85E+12,0.01761309,1.69E+12,4.939344647,3.92E-07
600000,浦发银行,2010,3,0.008055,1.61359E+11,0.123418778,2.02E+12,0.009860675,1.87E+12,7.347843866,1.01E-13
600000,浦发银行,2010,4,0.0065625,1.91724E+11,0.151280776,2.22E+12,0.013049243,2.04E+12,6.149191005,3.89E-10
600000,浦发银行,2011,1,0.0075,1.86973E+11,0.117960177,2.29E+12,0.009620243,2.12E+12,7.758725168,4.29E-15
600000,浦发银行,2011,2,0.008125,1.97255E+11,0.125253722,2.49E+12,0.009931079,2.31E+12,7.227455887,2.46E-13
600000,浦发银行,2011,3,0.00875,1.73454E+11,0.129487634,2.52E+12,0.008914796,2.37E+12,6.804794608,5.06E-12
600000,浦发银行,2011,4,0.00875,1.6462E+11,0.103375614,2.65E+12,0.006420745,2.51E+12,8.389725766,2.44E-17
600000,浦发银行,2012,1,0.00875,1.72172E+11,0.105972297,2.75E+12,0.006629806,2.60E+12,8.193771224,1.27E-16
600000,浦发银行,2012,2,0.008125,1.65071E+11,0.0838788,2.95E+12,0.004698135,2.80E+12,10.2827698,4.21E-25
600000,浦发银行,2012,3,0.0075,1.41316E+11,0.090783253,3.02E+12,0.004246027,2.90E+12,9.325175048,5.54E-21
600000,浦发银行,2012,4,0.0075,1.47827E+11,0.13321504,3.03E+12,0.006500899,2.90E+12,6.4051477,7.51E-11
600000,浦发银行,2013,1,0.0075,1.99859E+11,0.220009118,3.33E+12,0.013214991,3.15E+12,4.009806542,3.04E-05
600000,浦发银行,2013,2,0.0075,1.80687E+11,0.173239991,3.37E+12,0.009301761,3.21E+12,5.006464427,2.77E-07
600000,浦发银行,2013,3,0.0075,1.66581E+11,0.233454898,3.46E+12,0.011237798,3.32E+12,3.645805,0.000133278
600000,浦发银行,2013,4,0.0075,1.8562E+11,0.14015916,3.56E+12,0.007298067,3.40E+12,6.156924975,3.71E-10
600000,浦发银行,2014,1,0.0075,1.71503E+11,0.147870466,3.60E+12,0.007039724,3.46E+12,5.744198611,4.62E-09
600000,浦发银行,2014,2,0.0075,1.80743E+11,0.092251055,3.78E+12,0.004414639,3.62E+12,9.216309866,1.54E-20
600000,浦发银行,2014,3,0.0075,1.76775E+11,0.07796488,3.77E+12,0.003655498,3.62E+12,10.86342985,8.61E-28
